Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,9.784165382385254,9.784165382385254,9.545527458190918,9.545527458190918,9.545527458190918,284757
2020-01-03,9.545527458190918,9.68871021270752,9.478708267211914,9.526435852050781,9.526435852050781,222571
2020-01-06,9.478708267211914,9.478708267211914,9.306888580322266,9.306888580322266,9.306888580322266,322276
2020-01-07,9.335524559020996,9.526435852050781,9.306888580322266,9.354616165161133,9.354616165161133,234061
2020-01-08,9.430980682373047,9.440526008605957,9.259160995483398,9.268707275390625,9.268707275390625,95190
2020-01-09,9.268707275390625,9.440526008605957,9.259160995483398,9.259160995483398,9.259160995483398,156827
2020-01-10,9.268707275390625,9.335524559020996,9.240070343017578,9.249614715576172,9.249614715576172,162263
2020-01-13,9.240070343017578,9.421435356140137,9.240070343017578,9.287797927856445,9.287797927856445,88839
2020-01-14,9.297343254089355,9.345070838928223,9.268707275390625,9.335524559020996,9.335524559020996,190509
2020-01-15,9.36416244506836,9.68871021270752,9.36416244506836,9.526435852050781,9.526435852050781,872006
2020-01-16,9.545527458190918,9.593254089355469,9.450072288513184,9.497798919677734,9.497798919677734,186411
2020-01-17,9.545527458190918,9.593254089355469,9.41188907623291,9.507345199584961,9.507345199584961,195091
2020-01-20,9.545527458190918,9.545527458190918,9.354616165161133,9.469162940979004,9.469162940979004,278250
2020-01-30,9.068249702453613,9.068249702453613,8.524154663085938,8.543246269226074,8.543246269226074,582422
2020-01-31,8.581428527832031,8.686429023742676,8.485973358154297,8.571883201599121,8.571883201599121,400378
2020-02-03,8.495518684387207,8.495518684387207,8.11369800567627,8.247335433959961,8.247335433959961,319828
2020-02-04,9.68871021270752,9.784165382385254,8.314153671264648,8.314153671264648,8.314153671264648,161734
2020-02-05,8.380971908569336,8.686429023742676,8.380971908569336,8.552791595458984,8.552791595458984,343027
2020-02-06,8.590973854064941,8.590973854064941,8.505064010620117,8.571883201599121,8.571883201599121,205069
2020-02-07,8.581428527832031,8.581428527832031,8.41915512084961,8.476428031921387,8.476428031921387,235036
2020-02-10,8.46688175201416,8.571883201599121,8.304608345031738,8.533700942993164,8.533700942993164,128881
2020-02-11,8.571883201599121,8.676883697509766,8.505064010620117,8.648246765136719,8.648246765136719,342635
2020-02-12,8.629156112670898,8.648246765136719,8.610065460205078,8.638702392578125,8.638702392578125,91161
2020-02-13,8.686429023742676,8.724611282348633,8.600520133972168,8.657793045043945,8.657793045043945,190419
2020-02-14,8.705519676208496,8.74370288848877,8.667338371276855,8.724611282348633,8.724611282348633,167316
2020-02-17,8.686429023742676,8.734156608581543,8.571883201599121,8.638702392578125,8.638702392578125,205378
2020-02-18,8.638702392578125,8.676883697509766,8.505064010620117,8.610065460205078,8.610065460205078,143840
2020-02-19,8.629156112670898,8.667338371276855,8.590973854064941,8.629156112670898,8.629156112670898,102257
2020-02-20,8.629156112670898,8.686429023742676,8.590973854064941,8.648246765136719,8.648246765136719,97102
2020-02-21,8.648246765136719,8.75324821472168,8.638702392578125,8.695975303649902,8.695975303649902,198020
2020-02-24,8.695975303649902,8.7723388671875,8.648246765136719,8.657793045043945,8.657793045043945,185465
2020-02-25,8.590973854064941,8.839158058166504,8.581428527832031,8.74370288848877,8.74370288848877,167879
2020-02-26,8.74370288848877,8.75324821472168,8.667338371276855,8.724611282348633,8.724611282348633,118506
